X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
SUPPLIER146,ITEM_4439,8064,PIECE,1.12,9031.68,221253,903.1,1008,1008,3,247803.36,SITE10,BUYER11,MRP,4880,71.3,5x per week,1011.472,1128.96,1128.96,5465.6
SUPPLIER57,ITEM_2915,3667.2,SQUARE FOOT,2.39,8749.94,114284.9,466.5,916.8,916.8,2,272683.65,SITE4,BUYER5,MRP,998,98.4,5x per week,1114.935,2191.152,2191.152,2385.22
SUPPLIER6,ITEM_0173,4512,POUND,1.9,8550.24,22360,91.3,949,949,11,42372.2,SITE4,BUYER1,MRP,603,83,4x per week,173.47,1803.1,1803.1,1145.7
SUPPLIER75,ITEM_5213,241,PIECE,32.46,7822.86,568,2.3,48,48,25,18437.28,SITE2,BUYER12,MRP,41,52.1,2x per week,74.658,1558.08,1558.08,1330.86
SUPPLIER133,ITEM_5025,120,GALLON,64.42,7730.4,1285,5.2,50,5,9,82779.7,SITE4,BUYER2,MRP,60,89.1,1x per week,334.984,3221,322.1,3865.2
SUPPLIER85,ITEM_4866,2911,POUND,2.65,7714.15,51914,211.9,800,800,6,137572.1,SITE8,BUYER5,MRP,1600,94.7,2x per week,561.535,2120,2120,4240
SUPPLIER186,ITEM_6339,93324,INCH,0.08,7559.24,124278,507.3,36960,36960,6,10066.52,SITE6,BUYER10,MRP,36960,53.2,5x per week,40.584,2956.8,2956.8,2956.8
SUPPLIER32,ITEM_1422,2000,EACH,3.58,7162,33360,136.2,1000,40,5,119462.16,SITE2,BUYER4,MRP,297,71.5,2x per week,487.596,3580,143.2,1063.26
SUPPLIER251,ITEM_5351,66,ROLL,108.44,7157.04,167,0.7,50,50,20,18109.48,SITE2,BUYER3,MRP,6,85.7,5x per week,75.908,5422,5422,650.64
SUPPLIER23,ITEM_1436,5200,EACH,1.33,6895.2,160000,653.1,1600,1600,3,212160,SITE4,BUYER2,MRP,1371,95.9,5x per week,868.623,2128,2128,1823.43
SUPPLIER276,ITEM_1369,2475,EACH,2.53,6259.28,39825,162.6,75,75,6,100717.43,SITE4,BUYER4,MRP,480,88.1,2x per week,411.378,189.75,189.75,1214.4
SUPPLIER186,ITEM_6316,33264,INCH,0.18,6120.58,110649,451.6,9240,9240,6,20359.42,SITE6,BUYER10,MRP,18480,95.2,5x per week,81.288,1663.2,1663.2,3326.4
SUPPLIER269,ITEM_1131,18000,INCH,0.34,6102,150000,612.2,6000,6000,5,50850,SITE2,BUYER6,MRP,6000,93.8,1x per week,208.148,2040,2040,2040
SUPPLIER57,ITEM_2996,2431.7148,SQUARE FOOT,2.42,5879.89,3340.9,13.6,516.4704,516.4704,2,8078.34,SITE4,BUYER5,MRP,45,60.7,5x per week,32.912,1249.858368,1249.858368,108.9
SUPPLIER186,ITEM_6318,24948,INCH,0.24,5862.78,271194,1106.9,8316,8316,6,63730.59,SITE6,BUYER10,MRP,16632,85.8,5x per week,265.656,1995.84,1995.84,3991.68
SUPPLIER85,ITEM_4866,2173,POUND,2.65,5758.45,74078,302.4,800,800,6,196306.7,SITE7,BUYER5,MRP,2400,92,2x per week,801.36,2120,2120,6360
SUPPLIER186,ITEM_6320,58936,INCH,0.09,5245.3,394532,1610.3,20776,20776,6,35113.35,SITE6,BUYER10,MRP,41552,82.5,5x per week,144.927,1869.84,1869.84,3739.68
SUPPLIER186,ITEM_6296,45507,INCH,0.11,5142.29,506121,2065.8,16170,16170,6,57191.67,SITE6,BUYER10,MRP,32340,87.1,5x per week,227.238,1778.7,1778.7,3557.4
SUPPLIER104,ITEM_1883,50,PIECE,101.41,5070.5,475,1.9,10,10,13,48169.75,SITE2,BUYER4,MRP,12,95,1x per week,192.679,1014.1,1014.1,1216.92
SUPPLIER186,ITEM_6058,33264,INCH,0.15,5056.13,454608,1855.5,11088,11088,6,69100.42,SITE6,BUYER10,MRP,22176,93.3,5x per week,278.325,1663.2,1663.2,3326.4
SUPPLIER246,ITEM_5727,552000,INCH,0.01,4968,6256200,25535.5,24000,24000,12,56305.8,SITE1,BUYER7,MRP,172800,88.5,1x per week,255.355,240,240,1728
SUPPLIER22,ITEM_6281,56160,INCH,0.09,4942.08,998400,4075.1,18720,6240,7,87859.2,SITE6,BUYER7,MRP,13000,96.4,2x per week,366.759,1684.8,561.6,1170
SUPPLIER284,ITEM_6482,30672,INCH,0.16,4784.83,7668,31.3,7668,7668,2,1196.21,SITE1,BUYER10,MRP,7668,63.6,5x per week,5.008,1226.88,1226.88,1226.88
SUPPLIER269,ITEM_1136,12000,INCH,0.4,4764,114000,465.3,6000,6000,5,45258,SITE2,BUYER6,MRP,3000,93.8,1x per week,186.12,2400,2400,1200
SUPPLIER186,ITEM_6195,17280,INCH,0.26,4561.92,334080,1363.6,5760,5760,6,88197.12,SITE6,BUYER10,MRP,17280,91.3,5x per week,354.536,1497.6,1497.6,4492.8
SUPPLIER32,ITEM_1423,1200,PIECE,3.77,4521.6,15200,62,400,400,7,57273.6,SITE10,BUYER4,MRP,667,80.3,2x per week,233.74,1508,1508,2514.59
SUPPLIER144,ITEM_2473,248,PIECE,18.2,4512.86,2028,8.3,250,250,9,36903.52,SITE10,BUYER7,MRP,75,92.3,3x per week,151.06,4550,4550,1365
SUPPLIER9,ITEM_6568,408576,INCH,0.01,4494.34,18245472,74471.3,12768,12768,10,200700.19,SITE6,BUYER1,MRP,409514,91.2,1x per week,744.713,127.68,127.68,4095.14
SUPPLIER186,ITEM_6330,22638,INCH,0.19,4346.5,269577,1100.3,9240,9240,6,51758.78,SITE6,BUYER10,MRP,18480,98.1,5x per week,209.057,1755.6,1755.6,3511.2
SUPPLIER216,ITEM_4364,1680,CARTRIDGE,2.54,4267.2,59316,242.1,1680,1680,7,150662.64,SITE2,BUYER5,MRP,756,67.2,2x per week,614.934,4267.2,4267.2,1920.24
SUPPLIER144,ITEM_1850,2800,FOOT,1.51,4219.6,38600,157.6,1600,1600,10,58170.2,SITE2,BUYER7,MRP,500,75,2x per week,237.976,2416,2416,755
SUPPLIER218,ITEM_0794,561,PIECE,7.45,4176.65,12546,51.2,152,152,7,93404.97,SITE7,BUYER1,MRP,162,63.3,2x per week,381.44,1132.4,1132.4,1206.9
SUPPLIER91,ITEM_4912,156,GALLON,26.65,4156.62,1404,5.7,52,52,5,37409.58,SITE8,BUYER5,MRP,156,72.5,1x per week,151.905,1385.8,1385.8,4157.4
SUPPLIER32,ITEM_3497,130000,PIECE,0.03,4030,2045000,8346.9,5000,5000,7,63395,SITE6,BUYER4,MRP,25776,85.2,2x per week,250.407,150,150,773.28
SUPPLIER186,ITEM_6324,22176,INCH,0.18,3947.33,85008,347,5544,5544,6,15131.42,SITE6,BUYER10,MRP,11088,95.6,5x per week,62.46,997.92,997.92,1995.84
SUPPLIER6,ITEM_0141,1850,POUND,2.07,3820.25,10213,41.7,111,111,21,21089.85,SITE7,BUYER1,MRP,646,80.7,4x per week,86.319,229.77,229.77,1337.22
SUPPLIER7,ITEM_0804,345,PIECE,11.03,3803.63,3620,14.8,160,160,7,39910.5,SITE7,BUYER1,MRP,59,95.9,2x per week,163.244,1764.8,1764.8,650.77
SUPPLIER218,ITEM_6758,111,PIECE,33.17,3682.31,36,0.1,26,26,16,1194.26,SITE1,BUYER1,MRP,4,35.8,2x per week,3.317,862.42,862.42,132.68
SUPPLIER55,ITEM_2780,4186.53,SQUARE FOOT,0.87,3625.53,24379,99.5,2104.83,2104.83,11,21112.23,SITE1,BUYER5,MRP,1,86.7,5x per week,86.565,1831.2021,1831.2021,0.87
SUPPLIER195,ITEM_5450,5323,POUND,0.68,3624.96,28805,117.6,7980,7980,13,19616.21,SITE3,BUYER1,MRP,774,88.4,4x per week,79.968,5426.4,5426.4,526.32
SUPPLIER43,ITEM_0213,48,ROLL,75.2,3609.6,3619,14.8,48,48,8,272148.8,SITE2,BUYER6,MRP,28,48.1,1x per week,1112.96,3609.6,3609.6,2105.6
SUPPLIER55,ITEM_2942,7612.8,SQUARE FOOT,0.47,3608.47,3840.2,15.7,3796,3796,6,1820.25,SITE1,BUYER5,MRP,1,66.5,5x per week,7.379,1784.12,1784.12,0.47
SUPPLIER22,ITEM_6278,70200,INCH,0.05,3580.2,1544400,6303.7,31200,7800,7,78764.4,SITE6,BUYER7,MRP,21699,96,2x per week,315.185,1560,390,1084.95
SUPPLIER110,ITEM_2320,6000,PIECE,0.59,3540,156000,636.7,6000,6000,3,92040,SITE6,BUYER11,MRP,1274,100,5x per week,375.653,3540,3540,751.66
SUPPLIER55,ITEM_2959,7421.82,SQUARE FOOT,0.47,3517.94,7473.5,30.5,3741.08,3741.08,6,3542.46,SITE1,BUYER5,MRP,47,100,5x per week,14.335,1758.3076,1758.3076,22.09
SUPPLIER147,ITEM_5713,20120,EACH,0.17,3460.64,67376,275,20000,20000,10,11588.67,SITE3,BUYER11,MRP,841,69.7,5x per week,46.75,3400,3400,142.97
SUPPLIER51,ITEM_6699,71750,PIECE,0.05,3444,1911000,7800,1750,1750,8,91728,SITE1,BUYER7,MRP,30782,63.5,5x per week,390,87.5,87.5,1539.1
SUPPLIER144,ITEM_1712,1800,PIECE,1.91,3441.6,45450,185.5,750,75,8,86900.4,SITE12,BUYER7,MRP,1243,64.3,5x per week,354.305,1432.5,143.25,2374.13
SUPPLIER187,ITEM_5892,28956,INCH,0.11,3243.07,259008,1057.2,9120,9120,5,29008.9,SITE3,BUYER3,MRP,9643,93.8,5x per week,116.292,1003.2,1003.2,1060.73
SUPPLIER171,ITEM_6723,120000,PIECE,0.03,3240,1050000,4285.7,30000,30000,12,28350,SITE1,BUYER7,MRP,60000,78.3,1x per week,128.571,900,900,1800
SUPPLIER4,ITEM_4212,95,GALLON,34,3230,2530,10.3,5,5,6,86020,SITE2,BUYER2,MRP,24,95,1x per week,350.2,170,170,816
SUPPLIER85,ITEM_4844,100,GALLON,32.16,3216,350,1.4,50,50,11,11256,SITE12,BUYER5,MRP,50,81.8,1x per week,45.024,1608,1608,1608
SUPPLIER195,ITEM_5471,4706,POUND,0.68,3204.79,68971,281.5,7140,7140,7,46969.25,SITE3,BUYER1,MRP,792,94.4,4x per week,191.42,4855.2,4855.2,538.56
SUPPLIER284,ITEM_5404,36480,INCH,0.09,3173.76,649344,2650.4,7296,7296,2,56492.93,SITE6,BUYER10,MRP,21888,15.3,5x per week,238.536,656.64,656.64,1969.92
SUPPLIER46,ITEM_4627,2142,PIECE,1.46,3127.32,13566,55.4,1428,1428,16,19806.36,SITE4,BUYER3,MRP,670,71.1,2x per week,80.884,2084.88,2084.88,978.2
SUPPLIER35,ITEM_3280,58800,FOOT,0.05,3116.4,621600,2537.1,43200,43200,4,32944.8,SITE12,BUYER7,MRP,12205,100,5x per week,126.855,2160,2160,610.25
SUPPLIER6,ITEM_0275,1641,POUND,1.9,3109.7,4786,19.5,845,845,15,9069.47,SITE2,BUYER1,MRP,680,78.4,1x per week,37.05,1605.5,1605.5,1292
SUPPLIER186,ITEM_6294,20328,INCH,0.15,3028.87,30030,122.6,11550,11550,6,4474.47,SITE6,BUYER10,MRP,11550,84.3,5x per week,18.39,1732.5,1732.5,1732.5
SUPPLIER205,ITEM_4477,10800,FOOT,0.28,3024,92400,377.1,5400,5400,5,25872,SITE2,BUYER6,MRP,2400,78.1,5x per week,105.588,1512,1512,672
SUPPLIER133,ITEM_4790,6800,OUNCE,0.44,2964.8,136721.7,558,6800,6800,9,59610.66,SITE10,BUYER2,MRP,6800,88.1,1x per week,245.52,2992,2992,2992
SUPPLIER117,ITEM_6429,720,PIECE,4.02,2892.96,26400,107.8,240,240,6,106075.2,SITE3,BUYER1,MRP,320,95.6,1x per week,433.356,964.8,964.8,1286.4
SUPPLIER276,ITEM_5962,900,EACH,3.17,2853,13800,56.3,100,100,10,43746,SITE1,BUYER4,MRP,164,100,2x per week,178.471,317,317,519.88
SUPPLIER180,ITEM_4632,28000,PIECE,0.1,2828,713214,2911.1,5600,5600,5,72034.61,SITE6,BUYER11,MRP,6364,93.1,1x per week,291.11,560,560,636.4
SUPPLIER201,ITEM_4883,10584,FOOT,0.27,2825.93,30672,125.2,1296,1296,17,8189.42,SITE10,BUYER2,MRP,1296,61.8,2x per week,33.804,349.92,349.92,349.92
SUPPLIER49,ITEM_5175,400,PIECE,7.06,2822,13300,54.3,100,100,6,93831.5,SITE2,BUYER12,MRP,307,79.4,5x per week,383.358,706,706,2167.42
SUPPLIER5,ITEM_5065,110,POUND,25.17,2768.7,532,2.2,55,55,5,13390.44,SITE7,BUYER5,MRP,55,47.3,2x per week,55.374,1384.35,1384.35,1384.35
SUPPLIER205,ITEM_4476,10800,FOOT,0.26,2764.8,91800,374.7,5400,5400,5,23500.8,SITE6,BUYER6,MRP,600,90,5x per week,97.422,1404,1404,156
SUPPLIER4,ITEM_4212,80,GALLON,34,2720,955,3.9,5,5,7,32470,SITE4,BUYER2,MRP,14,93.8,1x per week,132.6,170,170,476
SUPPLIER165,ITEM_2728,5000,PIECE,0.52,2595,5000,20.4,7000,7000,17,2595,SITE2,BUYER12,MRP,333,100,5x per week,10.608,3640,3640,173.16
SUPPLIER186,ITEM_6077,234000,INCH,0.01,2574,10803000,44093.9,70200,70200,6,118833,SITE6,BUYER10,MRP,124800,88.9,5x per week,440.939,702,702,1248
SUPPLIER196,ITEM_1733,12000,PIECE,0.21,2568,365937,1493.6,1500,1500,6,78310.52,SITE4,BUYER11,MRP,2821,74.9,2x per week,313.656,315,315,592.41
SUPPLIER110,ITEM_2217,28800,EACH,0.09,2563.2,1438200,5870.2,1800,1800,1,127999.8,SITE2,BUYER11,MRP,12240,35.3,5x per week,528.318,162,162,1101.6
SUPPLIER51,ITEM_3708,36450,EACH,0.07,2551.5,441450,1801.8,1350,1350,4,30901.5,SITE4,BUYER7,MRP,3600,66.7,2x per week,126.126,94.5,94.5,252
SUPPLIER61,ITEM_3905,13824,SQUARE FOOT,0.18,2529.79,690048,2816.5,4608,4608,2,126278.78,SITE3,BUYER5,MRP,5405,99.3,5x per week,506.97,829.44,829.44,972.9
SUPPLIER186,ITEM_5570,42660,INCH,0.06,2516.94,1322460,5397.8,14220,14220,6,78025.14,SITE6,BUYER10,MRP,28440,89.8,5x per week,323.868,853.2,853.2,1706.4
SUPPLIER7,ITEM_0788,521,PIECE,4.79,2495.59,5033,20.5,327,327,7,24108.07,SITE7,BUYER1,MRP,56,84.7,2x per week,98.195,1566.33,1566.33,268.24
SUPPLIER82,ITEM_6650,39560,INCH,0.06,2492.28,731860,2987.2,19780,19780,4,46107.18,SITE6,BUYER10,MRP,19780,24.3,5x per week,179.232,1186.8,1186.8,1186.8
SUPPLIER146,ITEM_4161,840,EACH,2.92,2454.48,427,1.7,400,400,10,1247.69,SITE2,BUYER11,MRP,740,100,5x per week,4.964,1168,1168,2160.8
SUPPLIER186,ITEM_6114,29680,INCH,0.08,2433.76,118720,484.6,29680,29680,6,9735.04,SITE6,BUYER10,MRP,14840,85.7,5x per week,38.768,2374.4,2374.4,1187.2
SUPPLIER269,ITEM_1134,5500,INCH,0.43,2370.5,30000,122.4,6000,6000,5,12930,SITE2,BUYER6,MRP,2000,91.7,1x per week,52.632,2580,2580,860
SUPPLIER165,ITEM_2754,4500,PIECE,0.52,2335.5,37300,152.2,7000,7000,17,19358.7,SITE2,BUYER12,MRP,7000,31.2,5x per week,79.144,3640,3640,3640
SUPPLIER64,ITEM_3420,2000,FOOT,1.15,2302,52000,212.2,2000,2000,5,59852,SITE2,BUYER12,MRP,409,60,1x per week,244.03,2300,2300,470.35
SUPPLIER57,ITEM_2898,700.2,SQUARE FOOT,3.29,2300.86,11654.4,47.6,700.2,700.2,4,38296.49,SITE4,BUYER5,MRP,90,100,5x per week,156.604,2303.658,2303.658,296.1
SUPPLIER110,ITEM_2316,25000,EACH,0.09,2300,605000,2469.4,2500,2500,3,55660,SITE6,BUYER11,MRP,5582,98.4,5x per week,222.246,225,225,502.38
SUPPLIER289,ITEM_2045,2000,PIECE,1.13,2260,2000,8.2,1000,1000,30,2260,SITE2,BUYER12,MRP,251,80,5x per week,9.266,1130,1130,283.63
SUPPLIER218,ITEM_5443,18864,INCH,0.12,2244.82,235296,960.4,4752,4752,11,28000.22,SITE1,BUYER1,MRP,6418,68.4,2x per week,115.248,570.24,570.24,770.16
SUPPLIER61,ITEM_3916,3220,SQUARE FOOT,0.7,2237.9,13020,53.1,3150,3150,2,9048.9,SITE3,BUYER5,MRP,98,100,5x per week,37.17,2205,2205,68.6
SUPPLIER196,ITEM_1379,2600,EACH,0.86,2228.2,100500,410.2,100,100,6,86128.5,SITE8,BUYER11,MRP,1247,76.5,2x per week,352.772,86,86,1072.42
SUPPLIER276,ITEM_5963,700,EACH,3.17,2219,8300,33.9,100,100,7,26311,SITE6,BUYER4,MRP,93,98,2x per week,107.463,317,317,294.81
SUPPLIER274,ITEM_1833,30000,PIECE,0.07,2190,42000,171.4,3000,3000,5,3066,SITE2,BUYER7,MRP,780,19.5,1x per week,11.998,210,210,54.6
SUPPLIER23,ITEM_1449,768,EACH,2.85,2188.8,12672,51.7,384,384,3,36115.2,SITE4,BUYER2,MRP,100,92.2,5x per week,147.345,1094.4,1094.4,285
SUPPLIER201,ITEM_4879,12960,FOOT,0.17,2177.28,815184,3327.3,2592,2592,6,136950.91,SITE12,BUYER2,MRP,9822,63.5,2x per week,565.641,440.64,440.64,1669.74
SUPPLIER284,ITEM_6024,50400,INCH,0.04,2167.2,352800,1440,25200,25200,2,15170.4,SITE6,BUYER10,MRP,25200,21.4,5x per week,57.6,1008,1008,1008
SUPPLIER216,ITEM_4368,840,CARTRIDGE,2.56,2150.4,17340,70.8,840,12,7,44390.4,SITE2,BUYER5,MRP,350,78.4,2x per week,181.248,2150.4,30.72,896
SUPPLIER216,ITEM_4367,840,CARTRIDGE,2.54,2133.6,17724,72.3,840,12,7,45018.96,SITE2,BUYER5,MRP,365,65.6,2x per week,183.642,2133.6,30.48,927.1
SUPPLIER46,ITEM_4628,1080,PIECE,1.97,2131.92,2156,8.8,1078,1078,16,4255.94,SITE4,BUYER3,MRP,66,100,2x per week,17.336,2123.66,2123.66,130.02
SUPPLIER4,ITEM_4216,60,GALLON,35.31,2118.6,1345,5.5,5,5,6,47491.95,SITE2,BUYER2,MRP,13,98.7,1x per week,194.205,176.55,176.55,459.03
SUPPLIER186,ITEM_5687,84240,INCH,0.03,2106,1277640,5214.9,42120,42120,6,31941,SITE6,BUYER10,MRP,28080,87.7,5x per week,156.447,1263.6,1263.6,842.4
SUPPLIER4,ITEM_4223,60,GALLON,34.94,2096.4,475,1.9,5,5,7,16596.5,SITE8,BUYER2,MRP,35,95.6,1x per week,66.386,174.7,174.7,1222.9
SUPPLIER57,ITEM_2910,854.4,SQUARE FOOT,2.41,2056.54,22792.9,93,854.4,854.4,2,54862.51,SITE4,BUYER5,MRP,214,98.1,5x per week,224.13,2059.104,2059.104,515.74
SUPPLIER6,ITEM_0097,1167,POUND,1.74,2032.91,30354,123.9,558,558,10,52876.67,SITE2,BUYER1,MRP,395,82.2,4x per week,215.586,970.92,970.92,687.3
SUPPLIER186,ITEM_5822,31104,INCH,0.07,2021.76,77760,317.4,15552,15552,6,5054.4,SITE1,BUYER10,MRP,15552,85.7,5x per week,22.218,1088.64,1088.64,1088.64
SUPPLIER144,ITEM_6773,10500,PIECE,0.19,2005.5,75000,306.1,10000,10000,12,14325,SITE6,BUYER7,MRP,3996,71.4,5x per week,58.159,1900,1900,759.24
SUPPLIER6,ITEM_0308,970,POUND,2.07,2003.05,86826,354.4,176,176,21,179295.69,SITE4,BUYER1,MRP,5157,77,4x per week,733.608,364.32,364.32,10674.99
SUPPLIER186,ITEM_6577,249600,INCH,0.01,1996.8,62400,254.7,15600,15600,6,499.2,SITE6,BUYER10,MRP,15600,83.9,5x per week,2.547,156,156,156
SUPPLIER187,ITEM_5609,31416,INCH,0.06,1947.79,257103,1049.4,23100,23100,5,15940.39,SITE3,BUYER3,MRP,10565,95.7,5x per week,62.964,1386,1386,633.9
SUPPLIER186,ITEM_5650,74880,INCH,0.03,1946.88,1202760,4909.2,14040,14040,6,31271.76,SITE6,BUYER10,MRP,35100,94.6,5x per week,147.276,421.2,421.2,1053
SUPPLIER46,ITEM_4748,2100,PIECE,0.93,1944.6,8400,34.3,2100,2100,6,7778.4,SITE4,BUYER3,MRP,77,42.9,4x per week,31.899,1953,1953,71.61
SUPPLIER46,ITEM_4748,2100,PIECE,0.93,1944.6,60900,248.6,2100,2100,5,56393.4,SITE2,BUYER3,MRP,405,21.8,4x per week,231.198,1953,1953,376.65
SUPPLIER57,ITEM_2894,692.16,SQUARE FOOT,2.79,1927.67,24946.6,101.8,692.16,692.16,2,69476.28,SITE4,BUYER5,MRP,250,90.4,5x per week,284.022,1931.1264,1931.1264,697.5
SUPPLIER57,ITEM_2875,660.3,SQUARE FOOT,2.88,1901,13958.6,57,340.8,340.8,4,40186.81,SITE4,BUYER5,MRP,94,99.7,5x per week,164.16,981.504,981.504,270.72
SUPPLIER35,ITEM_3160,8400,FOOT,0.23,1890,9600,39.2,10800,1200,20,2160,SITE2,BUYER7,MRP,600,60.9,5x per week,9.016,2484,276,138
SUPPLIER274,ITEM_6786,14500,PIECE,0.13,1885,304000,1240.8,500,500,10,39520,SITE1,BUYER7,MRP,6834,92.1,1x per week,161.304,65,65,888.42
SUPPLIER218,ITEM_0994,200,PIECE,9.42,1883.8,20,0.1,137,137,16,188.38,SITE2,BUYER1,MRP,1,100,2x per week,0.942,1290.54,1290.54,9.42
SUPPLIER110,ITEM_0044,2200,EACH,0.86,1881,33000,134.7,200,200,3,28215,SITE10,BUYER11,MRP,201,96.4,5x per week,115.842,172,172,172.86
SUPPLIER187,ITEM_5996,40320,INCH,0.05,1814.4,113400,462.9,40320,40320,5,5103,SITE3,BUYER3,MRP,6300,71.4,5x per week,23.145,2016,2016,315
SUPPLIER22,ITEM_6341,58500,INCH,0.03,1813.5,163800,668.6,58500,11700,22,5077.8,SITE6,BUYER7,MRP,11700,100,2x per week,20.058,1755,351,351
SUPPLIER55,ITEM_2977,2394,SQUARE FOOT,0.76,1809.86,2394,9.8,2394,2394,3,1809.86,SITE1,BUYER5,MRP,1,100,5x per week,7.448,1819.44,1819.44,0.76
SUPPLIER55,ITEM_2935,3811.28,SQUARE FOOT,0.47,1806.55,3813.7,15.6,3796.64,3796.64,6,1807.7,SITE1,BUYER5,MRP,1,100,5x per week,7.332,1784.4208,1784.4208,0.47
SUPPLIER186,ITEM_5677,18240,INCH,0.1,1805.76,54720,223.3,9120,9120,15,5417.28,SITE1,BUYER10,MRP,9120,70,5x per week,22.33,912,912,912
SUPPLIER146,ITEM_4536,900,EACH,2,1796.4,6000,24.5,300,300,2,11976,SITE12,BUYER11,MRP,44,80.6,5x per week,49,600,600,88
SUPPLIER72,ITEM_5008,2,GALLON,896,1792,9.9,0,1,1,17,8903.99,SITE6,BUYER2,MRP,1,63.6,5x per week,0,896,896,896
SUPPLIER35,ITEM_3171,1000,PIECE,1.79,1790,2625,10.7,1250,1250,21,4698.75,SITE12,BUYER7,MRP,275,100,3x per week,19.153,2237.5,2237.5,492.25
SUPPLIER35,ITEM_2067,8500,PIECE,0.21,1742.5,6000,24.5,15000,15000,21,1230,SITE12,BUYER7,MRP,1722,100,5x per week,5.145,3150,3150,361.62
SUPPLIER55,ITEM_2941,3672.24,SQUARE FOOT,0.47,1740.64,19561.7,79.8,3691.5,3691.5,6,9272.26,SITE1,BUYER5,MRP,1,84.8,5x per week,37.506,1735.005,1735.005,0.47
SUPPLIER196,ITEM_4491,1069,PIECE,1.63,1738.19,2149,8.8,1000,1000,12,3494.27,SITE10,BUYER11,MRP,101,61.3,2x per week,14.344,1630,1630,164.63
SUPPLIER22,ITEM_5652,54000,INCH,0.03,1728,25500,104.1,30000,30000,22,816,SITE6,BUYER7,MRP,1500,9.1,2x per week,3.123,900,900,45
SUPPLIER82,ITEM_6662,30723,INCH,0.06,1720.49,768075,3135,30723,30723,4,43012.2,SITE6,BUYER10,MRP,4264,14.8,5x per week,188.1,1843.38,1843.38,255.84
SUPPLIER201,ITEM_4919,7776,FOOT,0.22,1710.72,64800,264.5,2592,2592,7,14256,SITE10,BUYER2,MRP,5184,77.3,2x per week,58.19,570.24,570.24,1140.48
SUPPLIER276,ITEM_6215,320,PIECE,5.34,1708.8,2000,8.2,80,80,12,10680,SITE6,BUYER4,MRP,45,97.9,2x per week,43.788,427.2,427.2,240.3
SUPPLIER129,ITEM_4126,13965,EACH,0.12,1675.8,9310,38,4000,4000,3,1117.2,SITE2,BUYER3,MRP,38,0,2x per week,4.56,480,480,4.56
