Supplier,Part Number,Quantity on Hand,Item UOM,Item Cost,$ on Hand,Annual Usage Qty,Average Daily Usage Qty,Minimum Order Qty,Box Size Qty,Lead Time [Days],Annual Usage [$],Mfg_Site,Planner Code,Planning Method,Safety Stock Qty,% Received On Time,Delivery Frequency
SUPPLIER57,ITEM_2820,5570.48,SQUARE FOOT,2.59,14438.68,311946.9,1273.3,700.2,700.2,4,808566.31,SITE4,BUYER5,MRP,2677,99.9,5x per week
SUPPLIER6,ITEM_0227,7163,POUND,1.94,13860.41,16754.0,68.4,6000,6000,20,32418.99,SITE9,BUYER1,Min-max,,100.0,4x per week
SUPPLIER160,ITEM_0325,3956,POUND,3.47,13719.41,18854.0,77.0,600,600,35,65385.67,SITE2,BUYER1,MRP,1314,70.6,1x per week
SUPPLIER104,ITEM_1882,145,PIECE,86.95,12607.75,2305.0,9.4,10,10,13,200419.75,SITE2,BUYER4,MRP,50,96.9,5x per week
SUPPLIER186,ITEM_5683,113760,INCH,0.11,12513.60,4503474.0,18381.5,7584,7584,6,495382.14,SITE6,BUYER10,MRP,45504,90.0,5x per week
SUPPLIER163,ITEM_4831,977,GALLON,12.45,12163.65,4829.0,19.7,6500,500,6,60121.05,SITE12,BUYER2,MRP,1000,24.7,2x per week
SUPPLIER32,ITEM_1423,3200,PIECE,3.77,12057.60,47480.0,193.8,1000,40,6,178904.64,SITE8,BUYER4,MRP,2600,93.7,2x per week
SUPPLIER91,ITEM_4912,416,GALLON,26.65,11084.32,8268.0,33.7,104,52,5,220300.86,SITE4,BUYER5,MRP,156,78.6,1x per week
SUPPLIER6,ITEM_0156,5720,POUND,1.90,10839.40,81619.0,333.1,354,354,6,154668.01,SITE4,BUYER1,MRP,449,80.1,4x per week
SUPPLIER186,ITEM_6443,172480,INCH,0.06,10176.32,3409120.0,13914.8,24640,24640,6,201138.08,SITE6,BUYER10,MRP,123200,83.7,5x per week
SUPPLIER6,ITEM_0111,6710,POUND,1.51,10138.81,4475.0,18.3,388,388,11,6761.73,SITE7,BUYER1,MRP,89,95.6,4x per week
SUPPLIER186,ITEM_6166,72072,INCH,0.13,9657.65,1968120.0,8033.1,5544,5544,6,263728.08,SITE6,BUYER10,MRP,27720,89.3,5x per week
SUPPLIER45,ITEM_5475,81400,PIECE,0.11,9279.60,293000.0,1195.9,200,200,55,33402.00,SITE1,BUYER2,MRP,38600,84.5,1x per week
SUPPLIER186,ITEM_5879,45864,INCH,0.20,9172.80,411502.0,1679.6,6552,6552,6,82300.40,SITE6,BUYER10,MRP,32760,86.9,5x per week
SUPPLIER146,ITEM_4439,8064,PIECE,1.12,9031.68,221253.0,903.1,1008,1008,3,247803.36,SITE10,BUYER11,MRP,4880,71.3,5x per week
SUPPLIER45,ITEM_6033,33400,PIECE,0.26,8750.80,107400.0,438.4,400,400,52,28138.80,SITE6,BUYER2,MRP,16000,78.1,1x per week
SUPPLIER57,ITEM_2915,3667.2,SQUARE FOOT,2.39,8749.94,114284.9,466.5,916.8,916.8,2,272683.65,SITE4,BUYER5,MRP,998,98.4,5x per week
SUPPLIER6,ITEM_0173,4512,POUND,1.90,8550.24,22360.0,91.3,949,949,11,42372.20,SITE4,BUYER1,MRP,603,83.0,4x per week
SUPPLIER75,ITEM_5213,241,PIECE,32.46,7822.86,568.0,2.3,48,48,25,18437.28,SITE2,BUYER12,MRP,41,52.1,2x per week
SUPPLIER133,ITEM_5025,120,GALLON,64.42,7730.40,1285.0,5.2,50,5,9,82779.70,SITE4,BUYER2,MRP,60,89.1,1x per week
SUPPLIER45,ITEM_1152,504,PIECE,15.32,7721.28,2700.0,11.0,360,360,50,41364.00,SITE2,BUYER2,MRP,178,84.6,1x per week
SUPPLIER85,ITEM_4866,2911,POUND,2.65,7714.15,51914.0,211.9,800,800,6,137572.10,SITE8,BUYER5,MRP,1600,94.7,2x per week
SUPPLIER186,ITEM_6339,93324,INCH,0.08,7559.24,124278.0,507.3,36960,36960,6,10066.52,SITE6,BUYER10,MRP,36960,53.2,5x per week
SUPPLIER218,ITEM_0725,119,PIECE,62.86,7480.10,1434.0,5.9,24,24,16,90138.37,SITE9,BUYER1,Min-max,,87.5,2x per week
SUPPLIER32,ITEM_1422,2000,EACH,3.58,7162.00,33360.0,136.2,1000,40,5,119462.16,SITE2,BUYER4,MRP,297,71.5,2x per week
SUPPLIER251,ITEM_5351,66,ROLL,108.44,7157.04,167.0,0.7,50,50,20,18109.48,SITE2,BUYER3,MRP,6,85.7,5x per week
SUPPLIER75,ITEM_1553,6600,PIECE,1.07,7062.00,176800.0,721.6,5000,5000,10,189176.00,SITE9,BUYER12,Min-max,,80.0,2x per week
SUPPLIER6,ITEM_5463,3824,POUND,1.85,7059.10,20727.0,84.6,4000,1000,15,38262.04,SITE6,BUYER1,Min-max,,76.2,4x per week
SUPPLIER23,ITEM_1436,5200,EACH,1.33,6895.20,160000.0,653.1,1600,1600,3,212160.00,SITE4,BUYER2,MRP,1371,95.9,5x per week
SUPPLIER276,ITEM_1369,2475,EACH,2.53,6259.28,39825.0,162.6,75,75,6,100717.43,SITE4,BUYER4,MRP,480,88.1,2x per week
SUPPLIER186,ITEM_6316,33264,INCH,0.18,6120.58,110649.0,451.6,9240,9240,6,20359.42,SITE6,BUYER10,MRP,18480,95.2,5x per week
SUPPLIER269,ITEM_1131,18000,INCH,0.34,6102.00,150000.0,612.2,6000,6000,5,50850.00,SITE2,BUYER6,MRP,6000,93.8,1x per week
SUPPLIER57,ITEM_2996,2431.7148,SQUARE FOOT,2.42,5879.89,3340.9,13.6,516.4704,516.4704,2,8078.34,SITE4,BUYER5,MRP,45,60.7,5x per week
SUPPLIER186,ITEM_6318,24948,INCH,0.24,5862.78,271194.0,1106.9,8316,8316,6,63730.59,SITE6,BUYER10,MRP,16632,85.8,5x per week
SUPPLIER85,ITEM_4866,2173,POUND,2.65,5758.45,74078.0,302.4,800,800,6,196306.70,SITE7,BUYER5,MRP,2400,92.0,2x per week
SUPPLIER218,ITEM_0727,238,PIECE,23.86,5678.20,3488.0,14.2,24,1,6,83216.70,SITE9,BUYER1,Min-max,,67.5,2x per week
SUPPLIER45,ITEM_0929,1300,EACH,4.25,5521.10,1500.0,6.1,100,100,52,6370.50,SITE10,BUYER2,MRP,700,100.0,1x per week
SUPPLIER157,ITEM_0055,2993,POUND,1.76,5267.68,10983.0,44.8,1500,1500,1,19330.04,SITE9,BUYER1,Min-max,,78.6,1x per week
SUPPLIER186,ITEM_6320,58936,INCH,0.09,5245.30,394532.0,1610.3,20776,20776,6,35113.35,SITE6,BUYER10,MRP,41552,82.5,5x per week
SUPPLIER186,ITEM_6296,45507,INCH,0.11,5142.29,506121.0,2065.8,16170,16170,6,57191.67,SITE6,BUYER10,MRP,32340,87.1,5x per week
SUPPLIER104,ITEM_1883,50,PIECE,101.41,5070.50,475.0,1.9,10,10,13,48169.75,SITE2,BUYER4,MRP,12,95.0,1x per week
SUPPLIER186,ITEM_6058,33264,INCH,0.15,5056.13,454608.0,1855.5,11088,11088,6,69100.42,SITE6,BUYER10,MRP,22176,93.3,5x per week
SUPPLIER246,ITEM_5727,552000,INCH,0.01,4968.00,6256200.0,25535.5,24000,24000,12,56305.80,SITE1,BUYER7,MRP,172800,88.5,1x per week
SUPPLIER22,ITEM_6281,56160,INCH,0.09,4942.08,998400.0,4075.1,18720,6240,7,87859.20,SITE6,BUYER7,MRP,13000,96.4,2x per week
SUPPLIER284,ITEM_6482,30672,INCH,0.16,4784.83,7668.0,31.3,7668,7668,2,1196.21,SITE1,BUYER10,MRP,7668,63.6,5x per week
SUPPLIER269,ITEM_1136,12000,INCH,0.40,4764.00,114000.0,465.3,6000,6000,5,45258.00,SITE2,BUYER6,MRP,3000,93.8,1x per week
SUPPLIER45,ITEM_0407,8000,PIECE,0.59,4728.00,42400.0,173.1,200,200,51,25058.40,SITE4,BUYER2,MRP,4400,80.3,1x per week
SUPPLIER186,ITEM_6195,17280,INCH,0.26,4561.92,334080.0,1363.6,5760,5760,6,88197.12,SITE6,BUYER10,MRP,17280,91.3,5x per week
SUPPLIER32,ITEM_1423,1200,PIECE,3.77,4521.60,15200.0,62.0,400,400,7,57273.60,SITE10,BUYER4,MRP,667,80.3,2x per week
SUPPLIER144,ITEM_2473,248,PIECE,18.20,4512.86,2028.0,8.3,250,250,9,36903.52,SITE10,BUYER7,MRP,75,92.3,3x per week
SUPPLIER9,ITEM_6568,408576,INCH,0.01,4494.34,18245472.0,74471.3,12768,12768,10,200700.19,SITE6,BUYER1,MRP,409514,91.2,1x per week
SUPPLIER75,ITEM_5206,47,PIECE,93.36,4387.92,192.0,0.8,24,24,35,17925.12,SITE2,BUYER12,MRP,12,77.2,2x per week
SUPPLIER186,ITEM_6330,22638,INCH,0.19,4346.50,269577.0,1100.3,9240,9240,6,51758.78,SITE6,BUYER10,MRP,18480,98.1,5x per week
SUPPLIER216,ITEM_4364,1680,CARTRIDGE,2.54,4267.20,59316.0,242.1,1680,1680,7,150662.64,SITE2,BUYER5,MRP,756,67.2,2x per week
SUPPLIER218,ITEM_0739,244,PIECE,17.35,4232.91,5398.0,22.0,33,1,6,93644.50,SITE9,BUYER1,Min-max,,68.8,2x per week
SUPPLIER144,ITEM_1850,2800,FOOT,1.51,4219.60,38600.0,157.6,1600,1600,10,58170.20,SITE2,BUYER7,MRP,500,75.0,2x per week
SUPPLIER218,ITEM_0794,561,PIECE,7.45,4176.65,12546.0,51.2,152,152,7,93404.97,SITE7,BUYER1,MRP,162,63.3,2x per week
SUPPLIER91,ITEM_4912,156,GALLON,26.65,4156.62,1404.0,5.7,52,52,5,37409.58,SITE8,BUYER5,MRP,156,72.5,1x per week
SUPPLIER32,ITEM_3497,130000,PIECE,0.03,4030.00,2045000.0,8346.9,5000,5000,7,63395.00,SITE6,BUYER4,MRP,25776,85.2,2x per week
SUPPLIER186,ITEM_6324,22176,INCH,0.18,3947.33,85008.0,347.0,5544,5544,6,15131.42,SITE6,BUYER10,MRP,11088,95.6,5x per week
SUPPLIER6,ITEM_0141,1850,POUND,2.07,3820.25,10213.0,41.7,111,111,21,21089.85,SITE7,BUYER1,MRP,646,80.7,4x per week
SUPPLIER7,ITEM_0804,345,PIECE,11.03,3803.63,3620.0,14.8,160,160,7,39910.50,SITE7,BUYER1,MRP,59,95.9,2x per week
SUPPLIER157,ITEM_0058,40,PIECE,93.77,3750.80,569.0,2.3,40,40,1,53355.13,SITE9,BUYER1,Min-max,,59.8,1x per week
SUPPLIER218,ITEM_6758,111,PIECE,33.17,3682.31,36.0,0.1,26,26,16,1194.26,SITE1,BUYER1,MRP,4,35.8,2x per week
SUPPLIER55,ITEM_2780,4186.53,SQUARE FOOT,0.87,3625.53,24379.0,99.5,2104.83,2104.83,11,21112.23,SITE1,BUYER5,MRP,1,86.7,5x per week
SUPPLIER195,ITEM_5450,5323,POUND,0.68,3624.96,28805.0,117.6,7980,7980,13,19616.21,SITE3,BUYER1,MRP,774,88.4,4x per week
SUPPLIER43,ITEM_0213,48,ROLL,75.20,3609.60,3619.0,14.8,48,48,8,272148.80,SITE2,BUYER6,MRP,28,48.1,1x per week
SUPPLIER55,ITEM_2942,7612.8,SQUARE FOOT,0.47,3608.47,3840.2,15.7,3796,3796,6,1820.25,SITE1,BUYER5,MRP,1,66.5,5x per week
SUPPLIER22,ITEM_6278,70200,INCH,0.05,3580.20,1544400.0,6303.7,31200,7800,7,78764.40,SITE6,BUYER7,MRP,21699,96.0,2x per week
SUPPLIER110,ITEM_2320,6000,PIECE,0.59,3540.00,156000.0,636.7,6000,6000,3,92040.00,SITE6,BUYER11,MRP,1274,100.0,5x per week
SUPPLIER55,ITEM_2959,7421.82,SQUARE FOOT,0.47,3517.94,7473.5,30.5,3741.08,3741.08,6,3542.46,SITE1,BUYER5,MRP,47,100.0,5x per week
SUPPLIER147,ITEM_5713,20120,EACH,0.17,3460.64,67376.0,275.0,20000,20000,10,11588.67,SITE3,BUYER11,MRP,841,69.7,5x per week
SUPPLIER157,ITEM_0053,2052,POUND,1.68,3447.36,20084.0,82.0,1500,1500,1,33741.19,SITE9,BUYER1,Min-max,,70.8,1x per week
SUPPLIER51,ITEM_6699,71750,PIECE,0.05,3444.00,1911000.0,7800.0,1750,1750,8,91728.00,SITE1,BUYER7,MRP,30782,63.5,5x per week
SUPPLIER144,ITEM_1712,1800,PIECE,1.91,3441.60,45450.0,185.5,750,75,8,86900.40,SITE12,BUYER7,MRP,1243,64.3,5x per week
SUPPLIER224,ITEM_5384,132000,INCH,0.03,3432.00,36000.0,146.9,12000,12000,11,936.00,SITE3,BUYER12,Min-max,,32.7,5x per week
SUPPLIER46,ITEM_5891,1950,PIECE,1.74,3394.95,9510.0,38.8,1380,230,15,16556.91,SITE6,BUYER3,Min-max,,80.2,2x per week
SUPPLIER187,ITEM_5892,28956,INCH,0.11,3243.07,259008.0,1057.2,9120,9120,5,29008.90,SITE3,BUYER3,MRP,9643,93.8,5x per week
SUPPLIER171,ITEM_6723,120000,PIECE,0.03,3240.00,1050000.0,4285.7,30000,30000,12,28350.00,SITE1,BUYER7,MRP,60000,78.3,1x per week
SUPPLIER4,ITEM_4212,95,GALLON,34.00,3230.00,2530.0,10.3,5,5,6,86020.00,SITE2,BUYER2,MRP,24,95.0,1x per week
SUPPLIER85,ITEM_4844,100,GALLON,32.16,3216.00,350.0,1.4,50,50,11,11256.00,SITE12,BUYER5,MRP,50,81.8,1x per week
SUPPLIER195,ITEM_5471,4706,POUND,0.68,3204.79,68971.0,281.5,7140,7140,7,46969.25,SITE3,BUYER1,MRP,792,94.4,4x per week
SUPPLIER284,ITEM_5404,36480,INCH,0.09,3173.76,649344.0,2650.4,7296,7296,2,56492.93,SITE6,BUYER10,MRP,21888,15.3,5x per week
SUPPLIER46,ITEM_4627,2142,PIECE,1.46,3127.32,13566.0,55.4,1428,1428,16,19806.36,SITE4,BUYER3,MRP,670,71.1,2x per week
SUPPLIER35,ITEM_3280,58800,FOOT,0.05,3116.40,621600.0,2537.1,43200,43200,4,32944.80,SITE12,BUYER7,MRP,12205,100.0,5x per week
SUPPLIER6,ITEM_0275,1641,POUND,1.90,3109.70,4786.0,19.5,845,845,15,9069.47,SITE2,BUYER1,MRP,680,78.4,1x per week
SUPPLIER186,ITEM_6294,20328,INCH,0.15,3028.87,30030.0,122.6,11550,11550,6,4474.47,SITE6,BUYER10,MRP,11550,84.3,5x per week
SUPPLIER205,ITEM_4477,10800,FOOT,0.28,3024.00,92400.0,377.1,5400,5400,5,25872.00,SITE2,BUYER6,MRP,2400,78.1,5x per week
SUPPLIER133,ITEM_4790,6800,OUNCE,0.44,2964.80,136721.7,558.0,6800,6800,9,59610.66,SITE10,BUYER2,MRP,6800,88.1,1x per week
SUPPLIER117,ITEM_6429,720,PIECE,4.02,2892.96,26400.0,107.8,240,240,6,106075.20,SITE3,BUYER1,MRP,320,95.6,1x per week
SUPPLIER243,ITEM_0643,586,PIECE,4.90,2872.57,7118.0,29.1,342,1,10,34892.44,SITE9,BUYER1,Min-max,,49.7,1x per week
SUPPLIER276,ITEM_5962,900,EACH,3.17,2853.00,13800.0,56.3,100,100,10,43746.00,SITE1,BUYER4,MRP,164,100.0,2x per week
SUPPLIER180,ITEM_4632,28000,PIECE,0.10,2828.00,713214.0,2911.1,5600,5600,5,72034.61,SITE6,BUYER11,MRP,6364,93.1,1x per week
SUPPLIER201,ITEM_4883,10584,FOOT,0.27,2825.93,30672.0,125.2,1296,1296,17,8189.42,SITE10,BUYER2,MRP,1296,61.8,2x per week
SUPPLIER49,ITEM_5175,400,PIECE,7.06,2822.00,13300.0,54.3,100,100,6,93831.50,SITE2,BUYER12,MRP,307,79.4,5x per week
SUPPLIER45,ITEM_0415,3800,PIECE,0.73,2789.20,14200.0,58.0,200,200,51,10422.80,SITE7,BUYER2,MRP,2200,77.2,1x per week
SUPPLIER5,ITEM_5065,110,POUND,25.17,2768.70,532.0,2.2,55,55,5,13390.44,SITE7,BUYER5,MRP,55,47.3,2x per week
SUPPLIER205,ITEM_4476,10800,FOOT,0.26,2764.80,91800.0,374.7,5400,5400,5,23500.80,SITE6,BUYER6,MRP,600,90.0,5x per week
SUPPLIER4,ITEM_4212,80,GALLON,34.00,2720.00,955.0,3.9,5,5,7,32470.00,SITE4,BUYER2,MRP,14,93.8,1x per week
SUPPLIER75,ITEM_5209,46,PIECE,58.44,2688.24,48.0,0.2,24,24,35,2805.12,SITE2,BUYER12,MRP,12,100.0,2x per week
SUPPLIER165,ITEM_2728,5000,PIECE,0.52,2595.00,5000.0,20.4,7000,7000,17,2595.00,SITE2,BUYER12,MRP,333,100.0,5x per week
SUPPLIER186,ITEM_6077,234000,INCH,0.01,2574.00,10803000.0,44093.9,70200,70200,6,118833.00,SITE6,BUYER10,MRP,124800,88.9,5x per week
SUPPLIER196,ITEM_1733,12000,PIECE,0.21,2568.00,365937.0,1493.6,1500,1500,6,78310.52,SITE4,BUYER11,MRP,2821,74.9,2x per week
SUPPLIER110,ITEM_2217,28800,EACH,0.09,2563.20,1438200.0,5870.2,1800,1800,1,127999.80,SITE2,BUYER11,MRP,12240,35.3,5x per week
SUPPLIER51,ITEM_3708,36450,EACH,0.07,2551.50,441450.0,1801.8,1350,1350,4,30901.50,SITE4,BUYER7,MRP,3600,66.7,2x per week
SUPPLIER75,ITEM_1517,96,PIECE,26.37,2531.52,234.0,1.0,48,48,35,6170.58,SITE2,BUYER12,Min-max,,50.1,1x per week
SUPPLIER61,ITEM_3905,13824,SQUARE FOOT,0.18,2529.79,690048.0,2816.5,4608,4608,2,126278.78,SITE3,BUYER5,MRP,5405,99.3,5x per week
SUPPLIER186,ITEM_5570,42660,INCH,0.06,2516.94,1322460.0,5397.8,14220,14220,6,78025.14,SITE6,BUYER10,MRP,28440,89.8,5x per week
SUPPLIER7,ITEM_0788,521,PIECE,4.79,2495.59,5033.0,20.5,327,327,7,24108.07,SITE7,BUYER1,MRP,56,84.7,2x per week
SUPPLIER82,ITEM_6650,39560,INCH,0.06,2492.28,731860.0,2987.2,19780,19780,4,46107.18,SITE6,BUYER10,MRP,19780,24.3,5x per week
SUPPLIER146,ITEM_4161,840,EACH,2.92,2454.48,427.0,1.7,400,400,10,1247.69,SITE2,BUYER11,MRP,740,100.0,5x per week
SUPPLIER275,ITEM_1103,32,PIECE,76.30,2441.60,75.0,0.3,24,24,15,5722.50,SITE14,BUYER6,Min-max,,75.0,1x per week
SUPPLIER186,ITEM_6114,29680,INCH,0.08,2433.76,118720.0,484.6,29680,29680,6,9735.04,SITE6,BUYER10,MRP,14840,85.7,5x per week
SUPPLIER75,ITEM_5122,98,PIECE,24.24,2375.52,262.0,1.1,24,24,35,6350.88,SITE2,BUYER12,MRP,18,68.2,2x per week
SUPPLIER269,ITEM_1134,5500,INCH,0.43,2370.50,30000.0,122.4,6000,6000,5,12930.00,SITE2,BUYER6,MRP,2000,91.7,1x per week
SUPPLIER165,ITEM_2754,4500,PIECE,0.52,2335.50,37300.0,152.2,7000,7000,17,19358.70,SITE2,BUYER12,MRP,7000,31.2,5x per week
SUPPLIER64,ITEM_3420,2000,FOOT,1.15,2302.00,52000.0,212.2,2000,2000,5,59852.00,SITE2,BUYER12,MRP,409,60.0,1x per week
SUPPLIER57,ITEM_2898,700.2,SQUARE FOOT,3.29,2300.86,11654.4,47.6,700.2,700.2,4,38296.49,SITE4,BUYER5,MRP,90,100.0,5x per week
SUPPLIER110,ITEM_2316,25000,EACH,0.09,2300.00,605000.0,2469.4,2500,2500,3,55660.00,SITE6,BUYER11,MRP,5582,98.4,5x per week
SUPPLIER289,ITEM_2045,2000,PIECE,1.13,2260.00,2000.0,8.2,1000,1000,30,2260.00,SITE2,BUYER12,MRP,251,80.0,5x per week
SUPPLIER218,ITEM_5443,18864,INCH,0.12,2244.82,235296.0,960.4,4752,4752,11,28000.22,SITE1,BUYER1,MRP,6418,68.4,2x per week
SUPPLIER61,ITEM_3916,3220,SQUARE FOOT,0.70,2237.90,13020.0,53.1,3150,3150,2,9048.90,SITE3,BUYER5,MRP,98,100.0,5x per week
SUPPLIER196,ITEM_1379,2600,EACH,0.86,2228.20,100500.0,410.2,100,100,6,86128.50,SITE8,BUYER11,MRP,1247,76.5,2x per week
SUPPLIER276,ITEM_5963,700,EACH,3.17,2219.00,8300.0,33.9,100,100,7,26311.00,SITE6,BUYER4,MRP,93,98.0,2x per week
SUPPLIER146,ITEM_4751,1680,PIECE,1.31,2199.12,7136.0,29.1,768,768,2,9341.02,SITE12,BUYER11,Min-max,,93.3,5x per week
SUPPLIER274,ITEM_1833,30000,PIECE,0.07,2190.00,42000.0,171.4,3000,3000,5,3066.00,SITE2,BUYER7,MRP,780,19.5,1x per week
SUPPLIER23,ITEM_1449,768,EACH,2.85,2188.80,12672.0,51.7,384,384,3,36115.20,SITE4,BUYER2,MRP,100,92.2,5x per week
SUPPLIER201,ITEM_4879,12960,FOOT,0.17,2177.28,815184.0,3327.3,2592,2592,6,136950.91,SITE12,BUYER2,MRP,9822,63.5,2x per week
SUPPLIER284,ITEM_6024,50400,INCH,0.04,2167.20,352800.0,1440.0,25200,25200,2,15170.40,SITE6,BUYER10,MRP,25200,21.4,5x per week
SUPPLIER216,ITEM_4368,840,CARTRIDGE,2.56,2150.40,17340.0,70.8,840,12,7,44390.40,SITE2,BUYER5,MRP,350,78.4,2x per week
SUPPLIER216,ITEM_4367,840,CARTRIDGE,2.54,2133.60,17724.0,72.3,840,12,7,45018.96,SITE2,BUYER5,MRP,365,65.6,2x per week
SUPPLIER46,ITEM_4628,1080,PIECE,1.97,2131.92,2156.0,8.8,1078,1078,16,4255.94,SITE4,BUYER3,MRP,66,100.0,2x per week
SUPPLIER4,ITEM_4216,60,GALLON,35.31,2118.60,1345.0,5.5,5,5,6,47491.95,SITE2,BUYER2,MRP,13,98.7,1x per week
SUPPLIER186,ITEM_5687,84240,INCH,0.03,2106.00,1277640.0,5214.9,42120,42120,6,31941.00,SITE6,BUYER10,MRP,28080,87.7,5x per week
SUPPLIER4,ITEM_4223,60,GALLON,34.94,2096.40,475.0,1.9,5,5,7,16596.50,SITE8,BUYER2,MRP,35,95.6,1x per week
SUPPLIER57,ITEM_2910,854.4,SQUARE FOOT,2.41,2056.54,22792.9,93.0,854.4,854.4,2,54862.51,SITE4,BUYER5,MRP,214,98.1,5x per week
SUPPLIER6,ITEM_0097,1167,POUND,1.74,2032.91,30354.0,123.9,558,558,10,52876.67,SITE2,BUYER1,MRP,395,82.2,4x per week
SUPPLIER186,ITEM_5822,31104,INCH,0.07,2021.76,77760.0,317.4,15552,15552,6,5054.40,SITE1,BUYER10,MRP,15552,85.7,5x per week
SUPPLIER144,ITEM_6773,10500,PIECE,0.19,2005.50,75000.0,306.1,10000,10000,12,14325.00,SITE6,BUYER7,MRP,3996,71.4,5x per week
SUPPLIER6,ITEM_0308,970,POUND,2.07,2003.05,86826.0,354.4,176,176,21,179295.69,SITE4,BUYER1,MRP,5157,77.0,4x per week
SUPPLIER186,ITEM_6577,249600,INCH,0.01,1996.80,62400.0,254.7,15600,15600,6,499.20,SITE6,BUYER10,MRP,15600,83.9,5x per week
SUPPLIER187,ITEM_5609,31416,INCH,0.06,1947.79,257103.0,1049.4,23100,23100,5,15940.39,SITE3,BUYER3,MRP,10565,95.7,5x per week
SUPPLIER186,ITEM_5650,74880,INCH,0.03,1946.88,1202760.0,4909.2,14040,14040,6,31271.76,SITE6,BUYER10,MRP,35100,94.6,5x per week
SUPPLIER46,ITEM_4748,2100,PIECE,0.93,1944.60,8400.0,34.3,2100,2100,6,7778.40,SITE4,BUYER3,MRP,77,42.9,4x per week
SUPPLIER46,ITEM_4748,2100,PIECE,0.93,1944.60,60900.0,248.6,2100,2100,5,56393.40,SITE2,BUYER3,MRP,405,21.8,4x per week
SUPPLIER57,ITEM_2894,692.16,SQUARE FOOT,2.79,1927.67,24946.6,101.8,692.16,692.16,2,69476.28,SITE4,BUYER5,MRP,250,90.4,5x per week
SUPPLIER57,ITEM_2875,660.3,SQUARE FOOT,2.88,1901.00,13958.6,57.0,340.8,340.8,4,40186.81,SITE4,BUYER5,MRP,94,99.7,5x per week
SUPPLIER35,ITEM_3160,8400,FOOT,0.23,1890.00,9600.0,39.2,10800,1200,20,2160.00,SITE2,BUYER7,MRP,600,60.9,5x per week
SUPPLIER45,ITEM_6566,3200,PIECE,0.59,1888.00,7600.0,31.0,200,200,55,4484.00,SITE1,BUYER2,MRP,800,92.7,1x per week
SUPPLIER274,ITEM_6786,14500,PIECE,0.13,1885.00,304000.0,1240.8,500,500,10,39520.00,SITE1,BUYER7,MRP,6834,92.1,1x per week
SUPPLIER218,ITEM_0994,200,PIECE,9.42,1883.80,20.0,0.1,137,137,16,188.38,SITE2,BUYER1,MRP,1,100.0,2x per week
SUPPLIER110,ITEM_0044,2200,EACH,0.86,1881.00,33000.0,134.7,200,200,3,28215.00,SITE10,BUYER11,MRP,201,96.4,5x per week
SUPPLIER45,ITEM_0408,800,PIECE,2.28,1827.20,2400.0,9.8,200,200,51,5481.60,SITE7,BUYER2,MRP,400,79.2,1x per week
SUPPLIER187,ITEM_5996,40320,INCH,0.05,1814.40,113400.0,462.9,40320,40320,5,5103.00,SITE3,BUYER3,MRP,6300,71.4,5x per week
